Section,Subsection,Topic (Bangla),Topic (English),Content type,Priority,Notes
Phase 1: Starting,Idea & Validation,কম আস্থার বাজারে মূল্য নির্ধারণ পরীক্ষা,Pricing tests in low-trust markets,Guide / Template,High,Comparison of business models and sales cycles. Tip: B2B often has longer sales cycles but higher retention.
Phase 1: Starting,Idea & Validation,বাংলাদেশে B2C বনাম B2B বনাম B2B2C,B2C vs B2B vs B2B2C in Bangladesh,Guide / Template,High,Adapting research methods to local norms. Tip: Account for social desirability bias in interviews.
Phase 1: Starting,Idea & Validation,ভ্যালিডেশনে বাংলাদেশি সংস্কৃতি ও সামাজিক বাস্তবতা,Cultural considerations in validation,Guide / Template,High,
Phase 1: Starting,Market Research,"বাংলাদেশের বাজার তথ্য কোথায় পাবেন: বিবিএস, বিশ্বব্যাংক, বিডা, খাতভিত্তিক প্রতিবেদন","Where to find Bangladesh market data: BBS, World Bank, BIDA, sector reports",Guide,High,
Phase 1: Starting,Market Research,বাংলাদেশে বাজারের আকার কীভাবে নির্ধারণ করবেন,How to size a market in Bangladesh,Guide,High,
Phase 1: Starting,Market Research,"জনসংখ্যাতত্ত্ব, ইন্টারনেট ব্যবহারের হার, মোবাইল-ফার্স্ট আচরণ, শহুরে বনাম গ্রামীণ গতিশীলতা বোঝা","Understanding demographics, internet penetration, mobile-first behavior, urban vs rural dynamics",Guide,High,
Phase 1: Starting,Market Research,বাংলাদেশের জন্য বাজার গবেষণা চেকলিস্ট,Market research checklist for Bangladesh,Guide,High,
Phase 1: Starting,Market Research,বাংলাদেশের বাজারের তথ্য পরিচ্ছন্নভাবে উদ্ধৃত করার উপায়,How to cite Bangladesh market data cleanly,Guide,High,
Phase 1: Starting,Business Structure,একক মালিকানা বনাম অংশীদারী ব্যবসা বনাম প্রাইভেট লিমিটেড কোম্পানি,Sole proprietorship vs partnership vs private limited company,Guide / Comparison,High,
Phase 1: Starting,Business Structure,কোম্পানি আইন ১৯৯৪ এর অধীনে এক ব্যক্তি কোম্পানি (ওপিসি),One Person Company (OPC) under Companies Act 1994,Guide / Comparison,High,
Phase 1: Starting,Business Structure,কখন কোম্পানি নিবন্ধন করবেন,When to register a company,Guide / Comparison,High,
Phase 1: Starting,Business Structure,খরচ ও সময়সীমা সহ ব্যবসায়িক কাঠামোর তুলনামূলক সারণী,Business structure comparison table with costs and timelines,Guide / Comparison,High,
Phase 1: Starting,Business Structure,প্রতিষ্ঠাতা চুক্তির মূল বিষয়গুলি,Founder agreement basics,Guide / Comparison,High,
Phase 1: Starting,Business Structure,বাংলাদেশে co-founder equity split ও vesting,Co-founder equity splits and vesting in Bangladesh,Guide / Comparison,High,
Phase 1: Starting,Business Structure,বাংলাদেশে solo founder বনাম team founder: বাস্তব trade-off,Solo founder vs team founder tradeoffs in Bangladesh,Guide / Comparison,High,
Phase 1: Starting,Company Registration,আরজেএসসি নাম ছাড়পত্র,RJSC name clearance,Guide / Checklist,High,Steps to reserve a company name. Tip: Have 3 alternative names ready.
Phase 1: Starting,Company Registration,ধাপে ধাপে প্রাইভেট লিমিটেড কোম্পানি নিবন্ধন,Private limited company registration step-by-step,Guide / Checklist,High,Detailed incorporation guide. Tip: Hire a professional if you want to save time.
Phase 1: Starting,Company Registration,স্মারকলিপি এবং সংঘবিধির মূল বিষয়াবলী,Memorandum and Articles of Association basics,Guide / Checklist,High,Explains the constitutional documents of a company. Tip: Use standard templates unless you have complex needs.
Phase 1: Starting,Company Registration,আরজেএসসি ফি এবং সময়সীমা সংক্রান্ত প্রত্যাশা,RJSC fees and timeline expectations,Guide / Checklist,High,Breakdown of official costs. Tip: Keep extra budget for miscellaneous processing fees.
Phase 1: Starting,Company Registration,আরজেএসসি-এর সাধারণ ভুলগুলো,Common RJSC mistakes,Guide / Checklist,High,Pitfalls during registration. Tip: Double-check all NID details before submission.
Phase 1: Starting,Company Registration,ডিজিটাল ব্যবসায়িক পরিচয় (ডিবিআইডি),Digital Business Identity (DBID),Guide / Checklist,High,Guide on mandatory e-commerce registration. Tip: Required for all online sellers.
Phase 1: Starting,Company Registration,সত্যায়িত অনুলিপি এবং রিটার্ন দাখিলের প্রাথমিক বিষয়াবলী,Certified copies and returns filing basics,Guide / Checklist,High,Post-registration compliance. Tip: Set calendar reminders for annual filings.
Phase 1: Starting,Company Registration,আইনসম্মতভাবে একটি কোম্পানি বন্ধ করে দেওয়া,Closing down a company legally,Guide / Checklist,High,"Process for winding up. Tip: Do not just abandon the company, it can lead to legal issues."
Phase 1: Starting,Local Licenses & Tax,ট্রেড লাইসেন্স নির্দেশিকা,Trade license guide,Guide / Tracker,High,How to get a basic business license. Tip: Apply at the local city corporation or union parishad.
Phase 1: Starting,Local Licenses & Tax,ট্রেড লাইসেন্সের খরচ এবং নবায়ন প্রক্রিয়া,Trade license costs and renewal process,Guide / Tracker,High,Fee structures and deadlines. Tip: Renew before July to avoid penalties.
Phase 1: Starting,Local Licenses & Tax,ই-টিআইএন গাইড,e-TIN guide,Guide / Tracker,High,Steps to get a Tax Identification Number. Tip: Required for directors and the company.
Phase 1: Starting,Local Licenses & Tax,ভ্যাট/বিন নির্দেশিকা,VAT/BIN guide,Guide / Tracker,High,How to get a Business Identification Number. Tip: Needed for importing or participating in tenders.
Phase 1: Starting,Local Licenses & Tax,যখন ভ্যাট নিবন্ধন প্রয়োজন,When VAT registration is required,Guide / Tracker,High,Thresholds for mandatory VAT. Tip: Check if your specific service is exempt.
Phase 1: Starting,Local Licenses & Tax,কীভাবে ট্যাক্স এবং ভ্যাট রিটার্ন দাখিল করবেন,How to file tax and VAT returns,Guide / Tracker,High,Basic filing procedures. Tip: Hire a tax consultant for the first few filings.
Phase 1: Starting,Local Licenses & Tax,টার্নওভার ট্যাক্স এবং ভ্যাট থ্রেশহোল্ড ব্যাখ্যা,Turnover tax and VAT threshold explainer,Guide / Tracker,High,Differences between turnover tax and standard VAT. Tip: Keep accurate sales records.
Phase 1: Starting,Local Licenses & Tax,বার্ষিক সম্মতি চেকলিস্ট,Annual compliance checklist,Guide / Tracker,High,Yearly legal requirements. Tip: Maintain a compliance folder.
Phase 1: Starting,Local Licenses & Tax,"বাজেট, এনবিআর সার্কুলার, আরজেএসসি নোটিশের নিয়ন্ত্রক পরিবর্তন তালিকা","Regulatory changelog for budget, NBR circulars, RJSC notices",Guide / Tracker,High,
Phase 1: Starting,Banking & Payments Setup,ব্যবসায়িক ব্যাংক অ্যাকাউন্ট নির্দেশিকা,Business bank account guide,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,কোন ব্যাংকগুলো স্টার্টআপ-বান্ধব?,Which banks are startup-friendly,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,কর্পোরেট ব্যাংক অ্যাকাউন্টের ডকুমেন্টেশন চেকলিস্ট,Corporate bank account documentation checklist,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,বিকাশ/নগদ/পেমেন্ট গেটওয়ে বেসিক,bKash/Nagad/payment gateway basics,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,"পেমেন্ট গেটওয়ে ইন্টিগ্রেশন: SSLCommerz, AmarPay, PortWallet","Payment gateway integration: SSLCommerz, AmarPay, PortWallet",Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,কার্ড ব্যবহারের কম হার: ব্যবসায়িক প্রভাব,Low card penetration implications,Guide / Checklist,High,
Phase 1: Starting,Banking & Payments Setup,"SaaS রপ্তানি, রেমিটেন্স এবং বিদেশী শেয়ারহোল্ডারদের জন্য বৈদেশিক মুদ্রা বিনিময়ের প্রাথমিক বিষয়াবলী","Foreign exchange basics for SaaS export, remittance, and foreign shareholders",Guide / Checklist,High,
Phase 1: Starting,Import / Export / IP,আমদানি/রপ্তানি নিবন্ধনের প্রাথমিক বিষয়াবলী,Import/export registration basics,Guide,Medium,
Phase 1: Starting,Import / Export / IP,আইআরসি/ইআরসি চেকলিস্ট,IRC/ERC checklist,Guide,Medium,
Phase 1: Starting,Import / Export / IP,বাংলাদেশ থেকে রপ্তানিমুখী SaaS,Export-oriented SaaS from Bangladesh,Guide,Medium,
Phase 1: Starting,Import / Export / IP,মেধাস্বত্ব এবং ট্রেডমার্কের প্রাথমিক বিষয়াবলী,Intellectual property and trademark basics,Guide,Medium,
Phase 1: Starting,Import / Export / IP,"কপিরাইট, পেটেন্ট, ডিজাইন এবং ট্রেডমার্ক","Copyright, patents, designs, and trademarks",Guide,Medium,
Phase 1: Starting,Import / Export / IP,ইসলামী অর্থায়ন / হালাল ব্যবসা সংক্রান্ত বিবেচ্য বিষয়সমূহ (যেখানে প্রাসঙ্গিক),Islamic finance / halal business considerations where relevant,Guide,Medium,
Phase 1: Starting,Idea & Validation,সমস্যার তালিকা থেকে ব্যবসার সুযোগ বাছাই,Turning a problem list into a business opportunity,Guide / Template,High,Practical ideation workflow.
Phase 1: Starting,Idea & Validation,ঢাকার বাইরে গ্রাহক যাচাই করার পদ্ধতি,How to validate customers outside Dhaka,Guide,High,Bangladesh-specific distribution reality.
Phase 1: Starting,Idea & Validation,ফেসবুক গ্রুপে চাহিদা পরীক্ষা,Testing demand in Facebook groups,Playbook,High,DataReportal shows Facebook is a major Bangladesh channel.
Phase 1: Starting,Idea & Validation,প্রি-অর্ডার নাকি ওয়েটলিস্ট: কোনটা ব্যবহার করবেন,Pre-orders vs waitlists in Bangladesh,Guide,High,Useful for commerce and SaaS.
Phase 1: Starting,Idea & Validation,"সার্ভে নয়, সাক্ষাৎকার: বাংলাদেশে কেন বেশি কার্যকর",Why interviews beat surveys in Bangladesh,Guide,High,Low-trust market nuance.
Phase 1: Starting,Idea & Validation,"ফিল্ড রিসার্চ পরিকল্পনা: বাজার, দোকান, মহল্লা","Field research plan: markets, shops and neighborhoods",Template,High,For offline-first validation.
Phase 1: Starting,Idea & Validation,"প্রতিযোগী ম্যাপ: অনলাইন, অফলাইন ও অনানুষ্ঠানিক প্রতিদ্বন্দ্বী","Competitor map: online, offline and informal competitors",Template,High,Includes informal economy.
Phase 1: Starting,Idea & Validation,নকল আইডিয়া বনাম বাংলাদেশে মানানো আইডিয়া,Copied ideas vs localized ideas,Guide,Medium,Avoid shallow Silicon Valley copying.
Phase 1: Starting,Idea & Validation,প্রথম দিকের বিশ্বাসযোগ্যতার সংকেত কীভাবে পরীক্ষা করবেন,How to test early trust signals,Guide,High,Trust-first Bangladesh angle.
Phase 1: Starting,Idea & Validation,গ্রাহকের পেমেন্ট আচরণ কীভাবে যাচাই করবেন,How to validate customer payment behavior,Guide,High,"Important for COD, wallet and subscription businesses."
Phase 1: Starting,Idea & Validation,গ্রাহকের ভাষা সংগ্রহ করে বাংলা কপি লেখা,Collecting customer language for Bangla copywriting,Template,Medium,Supports Bangla-first UX and landing pages.
Phase 1: Starting,Market Research,"BBS, BTRC, World Bank ও DataReportal দিয়ে বাজার বোঝা","Using BBS, BTRC, World Bank and DataReportal for market research",Guide,High,"Source lead: BBS, BTRC, World Bank, DataReportal."
Phase 1: Starting,Market Research,ফেসবুক অ্যাড লাইব্রেরি দিয়ে বাজার ও প্রতিযোগী বোঝা,Using Facebook Ad Library for market and competitor research,Guide,Medium,Useful for social commerce categories.
Phase 1: Starting,Market Research,"দোকান, বাজার ও মহল্লা পর্যবেক্ষণের ফিল্ড নোট টেমপ্লেট","Field notes template for shops, markets and neighborhoods",Template,High,For physical and commerce startups.
Phase 1: Starting,Market Research,বাংলাদেশে TAM/SAM/SOM হিসাব করার সহজ পদ্ধতি,Simple TAM/SAM/SOM sizing for Bangladesh,Guide / Template,High,Localized market sizing.
Phase 1: Starting,Market Research,"শহরভিত্তিক লঞ্চ বাজার বাছাই: ঢাকা, চট্টগ্রাম, সিলেট, রাজশাহী, খুলনা","Choosing launch cities: Dhaka, Chattogram, Sylhet, Rajshahi, Khulna",Guide,Medium,Supports city expansion planning.
Phase 1: Starting,Market Research,গ্রামীণ বনাম শহুরে গ্রাহকের গ্রহণযোগ্যতার পার্থক্য,Rural vs urban customer adoption differences,Guide,Medium,Use BBS and field interviews.
Phase 1: Starting,Market Research,বাংলাদেশি গ্রাহক পারসোনা কীভাবে বানাবেন,How to build Bangladeshi consumer personas,Template,Medium,Bangla-first customer segmentation.
Phase 1: Starting,Business Structure,একক মালিকানা দিয়ে শুরু করবেন কি না,Should you start as a sole proprietorship?,Guide,High,Trade license and tax path.
Phase 1: Starting,Business Structure,পার্টনারশিপ ডিডে কী কী থাকবে,Partnership deed essentials,Checklist,Medium,For non-company teams.
Phase 1: Starting,Business Structure,"প্রাইভেট লিমিটেড, OPC নাকি একক মালিকানা: সিদ্ধান্ত নেওয়ার গাইড","Private limited, OPC or sole proprietorship decision tree",Guide / Comparison,High,"Source lead: RJSC, BIDA."
Phase 1: Starting,Business Structure,বিদেশি মালিকানাধীন কোম্পানি শুরু করার বেসিক,Basics of starting a foreign-owned company in Bangladesh,Guide,High,Source lead: BIDA foreign investment resources.
Phase 1: Starting,Business Structure,"ব্রাঞ্চ, লিয়াজোঁ ও রিপ্রেজেন্টেটিভ অফিসের পার্থক্য","Branch, liaison and representative office differences",Guide,Medium,For foreign/diaspora founders.
Phase 1: Starting,Business Structure,"শেয়ার ক্যাপিটাল, পরিচালক ও শেয়ারহোল্ডার বেসিক","Share capital, directors and shareholders basics",Guide,High,RJSC-facing explainer.
Phase 1: Starting,Company Registration,কোম্পানি নিবন্ধনের পর প্রথম ১০টি কাজ,First 10 things after company registration,Checklist,High,"Bank, TIN, VAT, accounting, compliance."
Phase 1: Starting,Company Registration,RJSC বার্ষিক রিটার্ন ও ফাইলিং ক্যালেন্ডার,RJSC annual returns and filing calendar,Tracker,High,Source lead: RJSC.
Phase 1: Starting,Company Registration,BIDA OSS ও BanglaBiz starter resources কীভাবে ব্যবহার করবেন,How to use BIDA OSS and BanglaBiz starter resources,Guide,High,Source lead: BIDA OSS.
Phase 1: Starting,Company Registration,"CA, আইনজীবী ও কোম্পানি সেক্রেটারি বাছাইয়ের গাইড","How to choose a CA, lawyer and company secretary",Guide,Medium,Credibility and cost control.
Phase 1: Starting,Company Registration,কোম্পানি বন্ধ করার আগে কী কী ভাববেন,What to consider before closing a company,Guide / Checklist,Medium,Rare but important lifecycle topic.
Phase 1: Starting,Local Licenses & Tax,সিটি কর্পোরেশনভেদে ট্রেড লাইসেন্স ক্যাটেগরি বাছাই,Choosing the right trade license category by city corporation,Guide,High,Source lead: city corporation pages.
Phase 1: Starting,Local Licenses & Tax,কারখানা লাইসেন্স ও DIFE কমপ্লায়েন্স বেসিক,Factory license and DIFE compliance basics,Guide / Checklist,High,For physical/manufacturing startups.
Phase 1: Starting,Local Licenses & Tax,ফায়ার লাইসেন্স ও নিরাপত্তা ছাড়পত্র বেসিক,Fire license and safety clearance basics,Guide / Checklist,High,"For offices, warehouses and factories."
Phase 1: Starting,Local Licenses & Tax,পরিবেশ ছাড়পত্র: কোন ব্যবসার জন্য দরকার,Environmental clearance: which businesses need it?,Guide,High,Source lead: Department of Environment.
Phase 1: Starting,Local Licenses & Tax,BSTI সার্টিফিকেশন কখন লাগবে,When BSTI certification is required,Guide,Medium,For product and manufacturing businesses.
Phase 1: Starting,Local Licenses & Tax,খাদ্য ব্যবসা করলে BFSA ও নিরাপদ খাদ্য চেকলিস্ট,BFSA and food safety checklist for food businesses,Checklist,High,"For food, grocery and agro-processing."
Phase 1: Starting,Local Licenses & Tax,"ওষুধ, সাপ্লিমেন্ট বা স্বাস্থ্যপণ্য হলে DGDA পথচিত্র","DGDA pathway for medicine, supplements and health products",Guide,High,For health commerce and products.
Phase 1: Starting,Local Licenses & Tax,"SMS, টেলিকম বা ISP পণ্যে BTRC প্রশ্নগুলো","BTRC questions for SMS, telecom and ISP products",Guide,Medium,"For OTP, telco and connectivity products."
Phase 1: Starting,Local Licenses & Tax,কুরিয়ার বা লজিস্টিকস ব্যবসার লাইসেন্সিং প্রশ্ন,Licensing questions for courier or logistics businesses,Guide,Medium,For logistics startups.
Phase 1: Starting,Local Licenses & Tax,রাইড-শেয়ারিং বা পরিবহন পণ্যের নিয়ন্ত্রক চেকলিস্ট,Regulatory checklist for ride-sharing or transport products,Checklist,Medium,For mobility startups.
Phase 1: Starting,Local Licenses & Tax,ট্রাভেল এজেন্সি বা tour operator ব্যবসা শুরুর চেকলিস্ট,Checklist for starting a travel agency or tour operator,Checklist,Medium,For travel startups.
Phase 1: Starting,Local Licenses & Tax,"কারখানার ইউটিলিটি সেটআপ: বিদ্যুৎ, গ্যাস, পানি, বয়লার","Factory utility setup: electricity, gas, water and boiler",Guide,Medium,For manufacturing and processing businesses.
Phase 1: Starting,Local Licenses & Tax,"কর ক্যালেন্ডার: আয়কর, VAT, TDS, VDS ও বার্ষিক রিটার্ন","Tax calendar: income tax, VAT, TDS, VDS and annual returns",Tracker,High,Source lead: NBR.
Phase 1: Starting,Local Licenses & Tax,ব্যক্তিগত e-TIN বনাম কোম্পানি TIN,Personal e-TIN vs company TIN,Guide,High,Source lead: NBR e-TIN.
Phase 1: Starting,Local Licenses & Tax,BIN/VAT নিবন্ধনের পর মাসিক রিটার্নের কাজের ধাপ,Monthly return workflow after BIN/VAT registration,Guide,High,Source lead: VAT Online.
Phase 1: Starting,Local Licenses & Tax,মূসক ৬.৩ চালান ও VAT ডকুমেন্টেশন বেসিক,Mushak 6.3 invoice and VAT documentation basics,Guide,High,Source lead: NBR VAT guides.
Phase 1: Starting,Local Licenses & Tax,ভেন্ডর পেমেন্টের সময় TDS/VDS কী কাটবেন,TDS/VDS on vendor payments,Guide,High,Needs CA review.
Phase 1: Starting,Local Licenses & Tax,পে-রোল ট্যাক্স ও কর্মী ডকুমেন্টেশন,Payroll tax and employee documentation,Guide,Medium,For first hires.
Phase 1: Starting,Local Licenses & Tax,"অডিট, হিসাব ও বুককিপিং সেটআপ","Audit, accounts and bookkeeping setup",Guide / Checklist,High,For registered companies.
Phase 1: Starting,Local Licenses & Tax,a-Chalan ও অনলাইন কর পেমেন্টের কাজের ধাপ,a-Chalan and online tax payment workflow,Guide,Medium,Source lead: NBR / a-Chalan.
Phase 1: Starting,Local Licenses & Tax,প্রতি জুনে বাজেট চেঞ্জলগ কীভাবে আপডেট করবেন,How to update the budget changelog every June,Process,High,Keep compliance content fresh.
Phase 1: Starting,Banking & Payments Setup,মার্চেন্ট অ্যাকাউন্ট খুলতে কী কী লাগে,What you need to open a merchant account,Checklist,High,Bank and payment gateway docs.
Phase 1: Starting,Banking & Payments Setup,"SSLCommerz, aamarPay ও PortWallet তুলনা চেকলিস্ট","SSLCommerz, aamarPay and PortWallet comparison checklist",Comparison,High,Gateway selection framework.
Phase 1: Starting,Banking & Payments Setup,bKash মার্চেন্ট অ্যাকাউন্ট বনাম ব্যক্তিগত অ্যাকাউন্ট,bKash merchant account vs personal account,Guide,High,Keep brand name intact.
Phase 1: Starting,Banking & Payments Setup,Nagad ও Rocket মার্চেন্ট সেটআপ চেকলিস্ট,Nagad and Rocket merchant setup checklist,Checklist,Medium,Wallet acceptance path.
Phase 1: Starting,Banking & Payments Setup,"পেমেন্ট মিলানো: গেটওয়ে, ওয়ালেট, ব্যাংক ও COD","Payment reconciliation across gateway, wallet, bank and COD",Guide / Template,High,Ops-critical topic.
Phase 1: Starting,Banking & Payments Setup,"রিফান্ড, চার্জব্যাক ও বিরোধ সামলানো","Refunds, chargebacks and dispute handling",Guide,High,Trust and finance ops.
Phase 1: Starting,Banking & Payments Setup,সাবস্ক্রিপশন পেমেন্ট নেওয়ার বাস্তবতা,Reality of taking subscription payments in Bangladesh,Guide,High,"Cards, wallets, invoices and manual renewal."
Phase 1: Starting,Banking & Payments Setup,"আন্তর্জাতিক পেমেন্ট, কার্ড ও পেমেন্ট লিংকের সীমাবদ্ধতা","International payment, card and payment-link constraints",Guide,Medium,Source lead: Bangladesh Bank / gateways.
Phase 1: Starting,Banking & Payments Setup,COD নগদ টাকা মিলানোর টেমপ্লেট,COD cash reconciliation template,Template,High,For commerce operators.
Phase 1: Starting,Banking & Payments Setup,পেমেন্ট জালিয়াতির ঝুঁকি চেকলিস্ট,Payment fraud risk checklist,Checklist,Medium,For online sellers.
Phase 1: Starting,Import / Export / IP,HS code কীভাবে খুঁজবেন,How to find the right HS code,Guide,High,Source lead: Bangladesh Customs / Trade Portal.
Phase 1: Starting,Import / Export / IP,IRC/ERC করার ধাপে ধাপে গাইড,Step-by-step guide to IRC/ERC,Guide,High,Source lead: CCIE.
Phase 1: Starting,Import / Export / IP,"LC, LCAF ও ব্যাংক ডকুমেন্টেশন বেসিক","LC, LCAF and bank documentation basics",Guide,High,For importers.
Phase 1: Starting,Import / Export / IP,"ল্যান্ডেড কস্ট ক্যালকুলেটর: শুল্ক, VAT, পরিবহন ও ক্লিয়ারিং","Landed cost calculator: duty, VAT, freight and clearing",Calculator,High,For import product decisions.
Phase 1: Starting,Import / Export / IP,C&F এজেন্ট বাছাইয়ের চেকলিস্ট,C&F agent selection checklist,Checklist,High,Practical import/export ops.
Phase 1: Starting,Import / Export / IP,"ফ্রেইট ফরওয়ার্ডার বাছাই: আকাশপথ, সমুদ্রপথ, কুরিয়ার","Choosing a freight forwarder: air, sea and courier",Guide,Medium,Physical goods path.
Phase 1: Starting,Import / Export / IP,Incoterms সহজ বাংলায়,Incoterms in plain Bangla,Guide,Medium,Import/export education.
Phase 1: Starting,Import / Export / IP,"প্রোফর্মা ইনভয়েস, কমার্শিয়াল ইনভয়েস ও প্যাকিং লিস্ট","Proforma invoice, commercial invoice and packing list",Guide / Template,High,Document templates.
Phase 1: Starting,Import / Export / IP,উৎপত্তি সনদ কখন দরকার,When a certificate of origin is needed,Guide,Medium,Export/trade process.
Phase 1: Starting,Import / Export / IP,রপ্তানি আয় দেশে আনার বেসিক,Export proceeds repatriation basics,Guide,High,Source lead: Bangladesh Bank foreign exchange rules.
Phase 1: Starting,Import / Export / IP,EPB নিবন্ধন ও রপ্তানি প্রণোদনার পথ,EPB registration and export incentive path,Guide,Medium,Source lead: EPB.
Phase 1: Starting,Import / Export / IP,বন্ডেড ওয়্যারহাউস কী এবং কাদের জন্য,What bonded warehouses are and who should use them,Guide,Medium,For export manufacturing.
Phase 1: Starting,Import / Export / IP,BEPZA ও BEZA: রপ্তানিমুখী উৎপাদনের জন্য কখন ভাববেন,When to consider BEPZA and BEZA for export manufacturing,Guide,Medium,Source lead: BEPZA / BEZA.
Phase 1: Starting,Import / Export / IP,পণ্যের লেবেলিং ও প্যাকেজিং কমপ্লায়েন্স,Product labeling and packaging compliance,Checklist,High,For consumer goods.
Phase 1: Starting,Import / Export / IP,স্যাম্পল আমদানি ও প্রোটোটাইপ শিপমেন্ট,Sample imports and prototype shipments,Guide,Medium,Early physical product testing.
Phase 1: Starting,Import / Export / IP,বিদেশি সাপ্লায়ার যাচাইয়ের চেকলিস্ট,Foreign supplier verification checklist,Checklist,High,Alibaba and sourcing risk.
Phase 1: Starting,Import / Export / IP,Alibaba থেকে আমদানি করলে ঝুঁকি কমানোর উপায়,Reducing risk when importing from Alibaba,Guide,Medium,Practical sourcing content.
Phase 1: Starting,Import / Export / IP,শিপমেন্টের আগে গুণমান পরীক্ষা চেকলিস্ট,Pre-shipment quality inspection checklist,Checklist,High,For product quality.
Phase 1: Starting,Import / Export / IP,কাস্টমস ক্লিয়ারেন্স দেরি হলে কী করবেন,What to do when customs clearance is delayed,Guide,Medium,Import ops troubleshooting.
